Time [s],TrunkUnknown,LUUnknown1,LUUnknown2,LUUnknown3,LUUnknown4,LUKnown,Clock
2.766269042,0,0,0,0,0,0,0
2.766318962,0,0,0,1,0,0,0
2.766368882,1,1,1,1,1,1,1
2.766418802,1,1,1,1,1,1,1
2.766468722,1,1,1,1,1,1,1
2.766518642,1,1,1,1,1,1,1
2.766568562,1,1,1,1,1,1,1
2.766618482,1,1,1,1,1,1,1
2.766668402,1,1,1,1,1,1,1
2.766718322,1,1,1,1,1,1,1
2.766768242,1,1,1,1,1,1,1
2.766818162,1,1,1,1,1,1,1
2.766868082,1,1,1,1,1,1,1
2.766918002,1,1,1,1,1,1,1
2.766967922,1,1,1,1,1,1,0
2.767017842,1,1,1,1,1,1,0
2.767067762,1,1,1,1,1,1,0
2.767117682,1,1,1,1,1,1,0
2.767167602,1,1,1,1,1,1,0
2.767217522,1,1,1,1,1,1,0
2.767267442,1,1,1,1,1,1,0
2.767317362,1,1,1,1,1,1,0
2.767367282,1,1,1,1,1,1,0
2.767417202,1,1,1,1,1,1,0
2.767467122,1,1,1,1,1,1,0
2.767517042,1,1,1,1,1,1,0
2.767566962,1,1,1,1,1,1,0
2.767616882,1,1,1,1,1,1,1
2.767666802,1,1,1,1,1,1,1
2.767716722,1,1,1,1,1,1,1
2.767766642,1,1,1,1,1,1,1
2.767816562,1,1,1,1,1,1,1
2.767866482,1,1,1,1,1,1,1
2.767916402,1,1,1,1,1,1,1
2.767966322,1,1,1,1,1,1,1
2.768016242,1,1,1,1,1,1,1
2.768066162,1,1,1,1,1,1,1
2.768116082,1,1,1,1,1,1,1
2.768166002,1,1,1,1,1,1,1
2.768215922,1,1,1,1,1,1,0
2.768265842,1,1,1,1,1,1,0
2.768315762,1,1,1,1,1,1,0
2.768365682,1,1,1,1,1,1,0
2.768415602,1,1,1,1,1,1,0
2.768465522,1,1,1,1,1,1,0
2.768515442,1,1,1,1,1,1,0
2.768565362,1,1,1,1,1,1,0
2.768615282,1,1,1,1,1,1,0
2.768665202,1,1,1,1,1,1,0
2.768715122,1,1,1,1,1,1,0
2.768765042,1,1,1,1,1,1,0
2.768814962,0,0,0,0,0,1,0
2.768864882,0,0,0,0,0,0,1
2.768914802,0,0,0,0,0,0,1
2.768964722,0,0,0,0,0,0,1
2.769014642,0,0,0,0,0,0,1
2.769064562,0,0,0,0,0,0,1
2.769114482,0,0,0,0,0,0,1
2.769164402,0,0,0,0,0,0,1
2.769214322,0,0,0,0,0,0,1
2.769264242,0,0,0,0,0,0,1
2.769314162,0,0,0,0,0,0,1
2.769364082,0,0,0,0,0,0,1
2.769414002,0,0,0,0,0,0,1
2.769463922,0,0,0,0,0,0,0
2.769513842,0,0,0,0,0,0,0
2.769563762,0,0,0,0,0,0,0
2.769613682,0,0,0,0,0,0,0
2.769663602,0,0,0,0,0,0,0
2.769713522,0,0,0,0,0,0,0
2.769763442,0,0,0,0,0,0,0
2.769813362,0,0,0,0,0,0,0
2.769863282,0,0,0,0,0,0,0
2.769913202,0,0,0,0,0,0,0
2.769963122,0,0,0,0,0,0,0
2.770013042,0,0,0,0,0,0,0
2.770062962,0,0,0,0,0,0,0
2.770112882,0,0,0,0,0,0,1
2.770162802,0,0,0,0,0,0,1
2.770212722,0,0,0,0,0,0,1
2.770262642,0,0,0,0,0,0,1
2.770312562,0,0,0,0,0,0,1
2.770362482,0,0,0,0,0,0,1
2.770412402,0,0,0,0,0,0,1
2.770462322,0,0,0,0,0,0,1
2.770512242,0,0,0,0,0,0,1
2.770562162,0,0,0,0,0,0,1
2.770612082,0,0,0,0,0,0,1
2.770662002,0,0,0,0,0,0,0
2.770711922,0,0,0,0,0,0,0
2.770761842,0,0,0,0,0,0,0
2.770811762,0,0,0,0,0,0,0
2.770861682,0,0,0,0,0,0,0
2.770911602,0,0,0,0,0,0,0
2.770961522,0,0,0,0,0,0,0
2.771011442,0,0,0,0,0,0,0
2.771061362,0,0,0,0,0,0,0
2.771111282,0,0,0,0,0,0,0
2.771161202,0,0,0,0,0,0,0
2.771211122,0,0,0,0,0,0,0
2.771261042,0,0,0,0,0,0,0
2.771310962,0,0,0,1,0,0,1
2.771360882,1,1,1,1,1,1,1
2.771410802,1,1,1,1,1,1,1
2.771460722,1,1,1,1,1,1,1
2.771510642,1,1,1,1,1,1,1
2.771560562,1,1,1,1,1,1,1
2.771610482,1,1,1,1,1,1,1
2.771660402,1,1,1,1,1,1,1
2.771710322,1,1,1,1,1,1,1
2.771760242,1,1,1,1,1,1,1
2.771810162,1,1,1,1,1,1,1
2.771860082,1,1,1,1,1,1,1
2.771910002,1,1,1,1,1,1,0
2.771959922,1,1,1,1,1,1,0
2.772009842,1,1,1,1,1,1,0
2.772059762,1,1,1,1,1,1,0
2.772109682,1,1,1,1,1,1,0
2.772159602,1,1,1,1,1,1,0
2.772209522,1,1,1,1,1,1,0
2.772259442,1,1,1,1,1,1,0
2.772309362,1,1,1,1,1,1,0
2.772359282,1,1,1,1,1,1,0
2.772409202,1,1,1,1,1,1,0
2.772459122,1,1,1,1,1,1,0
2.772509042,1,1,1,1,1,1,0
2.772558962,1,1,1,1,1,1,1
2.772608882,1,1,1,1,1,1,1
2.772658802,1,1,1,1,1,1,1
2.772708722,1,1,1,1,1,1,1
2.772758642,1,1,1,1,1,1,1
2.772808562,1,1,1,1,1,1,1
2.772858482,1,1,1,1,1,1,1
2.772908402,1,1,1,1,1,1,1
2.772958322,1,1,1,1,1,1,1
2.773008242,1,1,1,1,1,1,1
2.773058162,1,1,1,1,1,1,1
2.773108082,1,1,1,1,1,1,1
2.773158002,1,1,1,1,1,1,0
2.773207922,1,1,1,1,1,1,0
2.773257842,1,1,1,1,1,1,0
2.773307762,1,1,1,1,1,1,0
2.773357682,1,1,1,1,1,1,0
2.773407602,1,1,1,1,1,1,0
2.773457522,1,1,1,1,1,1,0
2.773507442,1,1,1,1,1,1,0
2.773557362,1,1,1,1,1,1,0
2.773607282,1,1,1,1,1,1,0
2.773657202,1,1,1,1,1,1,0
2.773707122,1,1,1,1,1,1,0
2.773757042,1,1,1,1,1,1,0
2.773806962,0,0,1,0,0,0,1
2.773856882,0,0,0,0,0,0,1
2.773906802,0,0,0,0,0,0,1
2.773956722,0,0,0,0,0,0,1
2.774006642,0,0,0,0,0,0,1
2.774056562,0,0,0,0,0,0,1
2.774106482,0,0,0,0,0,0,1
2.774156402,0,0,0,0,0,0,1
2.774206322,0,0,0,0,0,0,1
2.774256242,0,0,0,0,0,0,1
2.774306162,0,0,0,0,0,0,1
2.774356082,0,0,0,0,0,0,1
2.774406002,0,0,0,0,0,0,0
2.774455922,0,0,0,0,0,0,0
2.774505842,0,0,0,0,0,0,0
2.774555762,0,0,0,0,0,0,0
2.774605682,0,0,0,0,0,0,0
2.774655602,0,0,0,0,0,0,0
2.774705522,0,0,0,0,0,0,0
2.774755442,0,0,0,0,0,0,0
2.774805362,0,0,0,0,0,0,0
2.774855282,0,0,0,0,0,0,0
2.774905202,0,0,0,0,0,0,0
