Time,Channel 2
4.027164480,1
4.027293600,0
4.027418720,1
4.027547840,0
4.027672960,1
4.027802080,0
4.028179360,1
4.028437600,0
4.028562720,1
4.028691840,0
4.028944160,1
4.029200320,0
4.029577760,1
4.029836000,0
4.030088160,1
4.030217280,0
4.030342400,1
4.030598720,0
4.030976160,1
4.031107200,0
4.031232320,1
4.031488640,0
4.031613760,1
4.031742880,0
4.031868000,1
4.031997120,0
4.032374400,1
4.032632640,0
4.032884960,1
4.033141120,0
4.033266240,1
4.033395360,0
4.033772800,1
4.034031040,0
4.034156160,1
4.034285280,0
4.034537600,1
4.034666560,0
4.034791840,1
4.034918880,0
4.035171200,1
4.035429440,0
4.035681600,1
4.035937920,0
4.036190080,1
4.036317280,0
4.036569440,1
4.036700640,0
4.036825760,1
4.037081920,0
4.037207040,1
4.037336160,0
4.037588480,1
4.037715520,0
4.037967840,1
4.038226080,0
4.038351200,1
4.038480320,0
4.038605440,1
4.038734560,0
4.038859680,1
4.038988800,0
4.039366240,1
4.039624480,0
4.039749600,1
4.039878720,0
4.040003840,1
4.040132960,0
4.040258080,1
4.040387200,0
4.040764480,1
4.041022720,0
4.041275040,1
4.041404160,0
4.041529280,1
4.041785440,0
4.042162880,1
4.042421120,0
4.042546240,1
4.042675360,0
4.042800480,1
4.042929600,0
4.043054720,1
4.043183840,0
4.043561280,1
4.043692320,0
4.043817440,1
4.043946560,0
4.044071680,1
4.044328000,0
4.044580160,1
4.044707360,0
4.044959520,1
4.045217760,0
4.045470080,1
4.045726240,0
4.045851360,1
4.045980480,0
4.046357920,1
4.046616160,0
4.046868480,1
4.046997440,0
4.047122720,1
4.047251840,0
4.047376960,1
4.047504000,0
4.047756320,1
4.047887360,0
4.048012480,1
4.048141600,0
4.048266720,1
4.048523040,0
4.048648160,1
4.048777280,0
4.049154560,1
4.049412800,0
4.049665120,1
4.049794240,0
4.049919360,1
4.050048480,0
4.050173600,1
4.050300640,0
4.050552960,1
4.050811200,0
4.050936320,1
4.051065440,0
4.051190560,1
4.051319680,0
4.051572000,1
4.051699040,0
4.051951360,1
4.052082400,0
4.052207520,1
4.052336640,0
4.052461760,1
4.052590880,0
4.052716000,1
4.052845120,0
